City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
70,Bethel,US,76.08,41.3712,-73.414,clear sky,Courtyard by Marriott Danbury
71,Butaritari,KI,83.1,3.0707,172.7902,light rain,Isles Sunset Lodge
72,Ribeira Grande,PT,73.8,38.5167,-28.7,scattered clouds,Quinta da Meia Eira
74,Vila Franca Do Campo,PT,72.01,37.7167,-25.4333,broken clouds,Pestana Bahia Praia
75,Maningrida,AU,74.55,-12.0667,134.2667,broken clouds,Dhukurrdji Lodge
76,Tarakan,ID,80.94,3.3,117.6333,overcast clouds,RedDoorz Syariah near Taman Berlabuh Tarakan
78,Lagos,NG,78.24,6.5833,3.75,overcast clouds,
79,Kahului,US,74.46,20.8947,-156.47,few clouds,Maui Seaside Hotel
82,Hithadhoo,MV,83.39,-0.6,73.0833,broken clouds,Scoop Guest House
83,Los Alamos,US,76.14,35.8881,-106.307,clear sky,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
87,Praia Da Vitoria,PT,74.75,38.7333,-27.0667,overcast clouds,Hotel Branco I
94,Sakaiminato,JP,73.33,35.55,133.2333,scattered clouds,味処・民宿 まつや
98,Cravo Norte,CO,78.85,6.3017,-70.2041,overcast clouds,Hotel Potosí Los Mirtos
99,Alofi,NU,76.53,-19.0595,-169.9187,moderate rain,Taloa Heights
103,Coshocton,US,75.51,40.272,-81.8596,scattered clouds,Roscoe Motor Inn
106,Atuona,PF,77.59,-9.8,-139.0333,clear sky,Villa Enata
107,Kapaa,US,75.52,22.0752,-159.319,light rain,Sheraton Kauai Coconut Beach Resort
108,Krizevci,HR,81.28,46.0219,16.5425,clear sky,Koristan Kod d.o.o.
110,Abu Zabad,SD,83.52,12.35,29.25,broken clouds,حامد محمد نور
111,North Platte,US,78.69,41.1239,-100.7654,clear sky,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
113,Hilo,US,76.28,19.7297,-155.09,clear sky,Hilo Hawaiian Hotel
115,Sorrento,IT,82.53,40.626,14.3744,overcast clouds,Hilton Sorrento Palace
116,Margate,GB,72.7,51.3813,1.3862,scattered clouds,Premier Inn Margate hotel
119,Souillac,MU,71.37,-20.5167,57.5167,few clouds,Shanti Maurice Resort & Spa
121,San Policarpo,PH,80.08,12.1791,125.5072,overcast clouds,Manong Aklan Resort
126,Conde,BR,83.66,-7.2597,-34.9075,broken clouds,Pousada Beija Flor
132,Hasaki,JP,73.8,35.7333,140.8333,broken clouds,Hotel Sunrise Choshi
135,Teguise,ES,73.62,29.0605,-13.564,clear sky,B&B La Casona de Nazaret
138,Tonj,SS,75.97,7.2737,28.6822,overcast clouds,
141,Pundaguitan,PH,79.92,6.3711,126.1689,overcast clouds,Leonardo Family Beach House 1
142,Georgetown,MY,79.9,5.4112,100.3354,few clouds,Cititel Penang
143,Baturaja,ID,76.89,-4.1333,104.1667,overcast clouds,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
144,Nichinan,JP,73.67,31.6,131.3667,moderate rain,Guest House Aki
145,Ambilobe,MG,74.61,-13.2,49.05,few clouds,Hôtel & Restaurant DIANA Ambilobe
149,Bengbu,CN,72.72,32.9408,117.3608,light rain,Howard Johnson Nanshan Plaza
154,Oussouye,SN,81.72,12.485,-16.5469,overcast clouds,Auberge du Routard
158,Quatre Cocos,MU,71.1,-20.2078,57.7625,few clouds,Sunrise Attitude Hotel
159,Alugan,PH,79.57,12.2188,125.4808,overcast clouds,JM Lodge
162,Kilindoni,TZ,76.5,-7.9139,39.6668,broken clouds,Bustani B&B
168,Steinbach,DE,72.88,50.1667,8.5667,few clouds,Mercure Hotel Frankfurt Eschborn Helfmann Park
171,San Vicente,AR,79.03,-26.6167,-54.1333,light rain,Complejo Turístico Farelluk
172,Pandan,PH,81.16,14.0453,124.1694,overcast clouds,Bonifacio Lodge
176,Sussex,US,76.48,41.1834,-74.6663,clear sky,Top O Hill Farm - McDougals
179,Gat,IL,79.81,31.61,34.7642,clear sky,OlusHome
180,Jieshi,CN,84.65,22.8134,115.8257,overcast clouds,Yuehai Hotel
181,Boyolangu,ID,74.88,-8.1181,111.8935,light rain,Yos ega cv
186,Tevaitoa,PF,77.63,-16.7833,-151.5,scattered clouds,Hôtel Raiatea Lodge
