City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Molokovo,RU,58.1661,36.7628,54.84,95,81,5.28,broken clouds
174,Tiksi,RU,71.6872,128.8694,45.99,55,8,8.14,clear sky
175,Egvekinot,RU,66.3167,-179.1667,26.98,77,100,25.21,overcast clouds
176,Sussex,US,41.1834,-74.6663,76.48,57,1,8.05,clear sky
177,San Patricio,US,28.017,-97.5169,87.78,49,0,10.0,clear sky
178,Kenai,US,60.5544,-151.2583,47.14,98,40,0.0,scattered clouds
179,Gat,IL,31.61,34.7642,79.81,55,2,10.69,clear sky
180,Jieshi,CN,22.8134,115.8257,84.65,82,85,12.73,overcast clouds
181,Boyolangu,ID,-8.1181,111.8935,74.88,94,94,6.85,light rain
182,Susanville,US,40.4163,-120.653,63.09,54,0,1.59,clear sky
183,Vostok,RU,46.4856,135.8833,50.27,95,100,1.88,moderate rain
184,Port Pirie,AU,-33.1833,138.0167,53.69,88,11,11.61,few clouds
185,Rawson,AR,-43.3002,-65.1023,58.68,65,100,25.39,overcast clouds
186,Tevaitoa,PF,-16.7833,-151.5,77.63,62,27,12.46,scattered clouds
187,Mar Del Plata,AR,-38.0023,-57.5575,55.42,88,90,9.22,overcast clouds
188,Atar,MR,20.5169,-13.0499,104.5,23,93,5.1,overcast clouds
189,Sorong,ID,-0.8833,131.25,78.37,86,100,4.21,overcast clouds
190,Rio Gallegos,AR,-51.6226,-69.2181,50.05,29,0,10.36,clear sky
191,Pisco,PE,-13.7,-76.2167,62.02,86,91,7.4,overcast clouds
192,Bria,CF,6.5423,21.9863,74.55,93,29,4.81,light rain
193,Asau,RO,46.4333,26.4,74.75,50,75,2.8,broken clouds
194,Pevek,RU,69.7008,170.3133,28.0,79,85,14.29,overcast clouds
195,Kings Mountain,US,35.2451,-81.3412,79.72,47,1,1.99,clear sky
196,Kodiak,US,57.79,-152.4072,38.71,87,1,5.75,clear sky
197,Atasu,KZ,48.6814,71.6433,54.52,84,100,12.17,overcast clouds
198,Namatanai,PG,-3.6667,152.4333,79.16,80,97,5.75,overcast clouds
199,Grindavik,IS,63.8424,-22.4338,52.27,87,75,10.36,broken clouds
200,Khani,GE,41.9563,42.9566,62.17,98,94,2.93,overcast clouds
201,Presidente Franco,PY,-25.5333,-54.6167,81.12,41,0,5.75,clear sky
202,Faya,SA,18.3851,42.4509,75.72,67,81,8.48,broken clouds
203,Pekalongan,ID,-6.8886,109.6753,79.99,79,100,2.39,overcast clouds
204,Sabancuy,MX,18.9667,-91.1833,78.76,83,100,9.89,overcast clouds
205,Namibe,AO,-15.1961,12.1522,68.76,88,11,12.57,few clouds
206,Farafenni,GM,13.5667,-15.6,85.41,71,81,9.73,broken clouds
207,Cap Malheureux,MU,-19.9842,57.6142,71.47,77,12,5.99,light rain
208,Ola,RU,59.5833,151.2833,36.05,60,0,9.28,clear sky
209,Petropavlovskoye,RU,52.0712,84.107,60.03,46,100,9.13,overcast clouds
210,Miri,MY,4.4148,114.0089,79.25,80,96,2.15,light rain
211,Kralendijk,BQ,12.15,-68.2667,82.6,80,93,18.99,overcast clouds
212,Nouadhibou,MR,20.931,-17.0347,76.69,94,98,6.87,overcast clouds
213,Faanui,PF,-16.4833,-151.75,77.5,61,20,13.0,few clouds
214,Fortuna,US,40.5982,-124.1573,59.94,74,40,3.0,scattered clouds
215,Dingle,PH,10.9995,122.6711,76.57,88,100,2.37,overcast clouds
216,Garowe,SO,8.4054,48.4845,88.81,31,90,17.98,overcast clouds
217,Brookhaven,US,31.5791,-90.4407,80.8,57,0,5.26,clear sky
218,Atikokan,CA,48.7555,-91.6216,58.95,53,7,12.06,clear sky
219,Marystown,CA,47.1666,-55.1483,64.74,78,40,26.35,scattered clouds
220,Regina,CA,50.4501,-104.6178,55.17,82,100,1.01,overcast clouds
221,Bambous Virieux,MU,-20.3428,57.7575,71.22,77,7,17.81,clear sky
222,Smidovich,RU,48.6,133.8167,51.03,92,100,11.05,overcast clouds
223,Tsumeb,NA,-19.2333,17.7167,84.88,14,0,12.12,clear sky
224,Severo-Kurilsk,RU,50.6789,156.125,46.11,73,62,10.87,broken clouds
225,Lebu,CL,-37.6167,-73.65,53.15,89,100,23.29,overcast clouds
226,Lasa,IT,46.6166,10.7002,76.91,81,96,2.3,overcast clouds
227,Taoudenni,ML,22.6783,-3.9836,113.76,6,13,11.25,few clouds
