City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
60,Ucluelet,CA,72.05,48.9329,-125.5528,Black Rock Oceanfront Resort
63,Guerrero Negro,MX,78.06,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
64,Dingle,PH,80.13,10.9995,122.6711,SEGAYA PROPERTY
67,Ambunti,PG,84.07,-4.2365,142.8448,Ambunti Lodge
69,Arraial Do Cabo,BR,71.56,-22.9661,-42.0278,Pousada Porto Praia
70,Westport,US,71.38,41.1415,-73.3579,The Westport Inn
72,Tautira,PF,82.42,-17.7333,-149.15,Pension Oaoa
73,Muroto,JP,82.44,33.2833,134.15,Oota Ryokan
74,Atuona,PF,77.92,-9.8,-139.0333,Villa Enata
81,Iralaya,HN,82.49,15.0,-83.2333,Iglesia morava renovada
83,Mae Sai,TH,74.52,20.4335,99.8762,Piyaporn Hill Paradise Hotel
85,Vaini,TO,77.16,-21.2,-175.2,Keleti Beach Resort
87,Male,MV,82.35,4.1748,73.5089,Hotel Octave Maldives
91,Careiro Da Varzea,BR,84.81,-3.2003,-59.8119,POUSADA DA ALDENORA
92,Hamilton,US,70.77,39.1834,-84.5333,Six Acres Bed & Breakfast
93,Souillac,MU,70.18,-20.5167,57.5167,Shanti Maurice Resort & Spa
100,Port-Gentil,GA,77.38,-0.7193,8.7815,Fengshui Residence
101,Manoel Urbano,BR,73.29,-8.8389,-69.2597,Baixada Beira Rio
103,Grand-Santi,GF,75.72,4.25,-54.3833,Hotel La Villa Couacou
104,Butaritari,KI,83.08,3.0707,172.7902,Isles Sunset Lodge
112,Jalu,LY,80.1,29.0331,21.5482,صاحبة الفخامة
113,Bonthe,SL,76.23,7.5264,-12.505,Bonthe Holiday Village
114,Jaque,PA,80.15,7.5175,-78.1703,Imbu Bua Lodge
118,Buala,SB,84.07,-8.145,159.5921,Maringe Lagoon Lodge
121,Hilo,US,82.26,19.7297,-155.09,Hilo Hawaiian Hotel
122,Sanary-Sur-Mer,FR,71.89,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
